adduser	3.118ubuntu5
dpkg-dev	1.21.1ubuntu2.2
e2fsprogs	1.46.5-2ubuntu1.1
ed	1.18-1
eject	2.37.2-4ubuntu3
emacsen-common	3.0.4
fakeroot	1.28-1ubuntu1
file	1:5.41-3ubuntu0.1
findutils	4.8.0-1ubuntu3
fontconfig	2.13.1-4.2ubuntu5
fontconfig-config	2.13.1-4.2ubuntu5
fonts-dejavu-core	2.37-2build1
fonts-ubuntu	0.83-6ubuntu1
friendly-recovery	0.2.42
ftp	20210827-4build1
fuse3	3.10.5-1build1
g++	4:11.2.0-1ubuntu1
g++-11	11.4.0-1ubuntu1~22.04
gawk	1:5.1.0-1ubuntu0.1
gcc	4:11.2.0-1ubuntu1
gcc-11	11.4.0-1ubuntu1~22.04
gcc-11-base:amd64	11.4.0-1ubuntu1~22.04
gcc-12-base:amd64	12.3.0-1ubuntu1~22.04
gdb	12.1-0ubuntu1~22.04
gettext-base	0.21-4ubuntu4
gfortran	4:11.2.0-1ubuntu1
gfortran-11	11.4.0-1ubuntu1~22.04
gir1.2-atk-1.0:amd64	2.36.0-3build1
gir1.2-atspi-2.0:amd64	2.44.0-3
gir1.2-freedesktop:amd64	1.72.0-1
gir1.2-gdkpixbuf-2.0:amd64	2.42.8+dfsg-1ubuntu0.2
gir1.2-glib-2.0:amd64	1.72.0-1
gir1.2-gtk-3.0:amd64	3.24.33-1ubuntu2
gir1.2-harfbuzz-0.0:amd64	2.7.4-1ubuntu3.1
gir1.2-packagekitglib-1.0	1.2.5-2ubuntu2
gir1.2-pango-1.0:amd64	1.50.6+ds-2ubuntu1
git	1:2.34.1-1ubuntu1.10
git-man	1:2.34.1-1ubuntu1.10
gnupg	2.2.27-3ubuntu2.1
gnupg-l10n	2.2.27-3ubuntu2.1
gnupg-utils	2.2.27-3ubuntu2.1
gnuplot-data	5.4.2+dfsg2-2
gnuplot-qt	5.4.2+dfsg2-2
gpg	2.2.27-3ubuntu2.1
gpg-agent	2.2.27-3ubuntu2.1
gpg-wks-client	2.2.27-3ubuntu2.1
gpg-wks-server	2.2.27-3ubuntu2.1
gpgconf	2.2.27-3ubuntu2.1
gpgsm	2.2.27-3ubuntu2.1
gpgv	2.2.27-3ubuntu2.1
grep	3.7-1build1
groff-base	1.22.4-8build1
gsettings-desktop-schemas	42.0-1ubuntu1
gtk-update-icon-cache	3.24.33-1ubuntu2
gzip	1.10-4ubuntu4.1
hdparm	9.60+ds-1build3
hicolor-icon-theme	0.17-2
hostname	3.23ubuntu2
htop	3.0.5-7build2
humanity-icon-theme	0.6.16
ibverbs-providers:amd64	39.0-1
icu-devtools	70.1-2
info	6.8-4build1
init	1.62
init-system-helpers	1.62
install-info	6.8-4build1
iproute2	5.15.0-1ubuntu2
iptables	1.8.7-1ubuntu5.1
iputils-ping	3:20211215-1
iputils-tracepath	3:20211215-1
irqbalance	1.8.0-1ubuntu0.1
isc-dhcp-client	4.4.1-2.3ubuntu2.4
isc-dhcp-common	4.4.1-2.3ubuntu2.4
iso-codes	4.9.0-1
javascript-common	11+nmu1
kbd	2.3.0-3ubuntu4.22.04
keyboard-configuration	1.205ubuntu3
kmod	29-1ubuntu1
less	590-1ubuntu0.22.04.1
libacl1:amd64	2.3.1-1
libalgorithm-diff-perl	1.201-1
libalgorithm-diff-xs-perl	0.04-6build3
libalgorithm-merge-perl	0.08-3
libapparmor1:amd64	3.0.4-2ubuntu2.2
libappstream4:amd64	0.15.2-2
libapt-pkg6.0:amd64	2.4.10
libarchive13:amd64	3.6.0-1ubuntu1
libargon2-1:amd64	0~20171227-0.3
libasan6:amd64	11.4.0-1ubuntu1~22.04
libasound2:amd64	1.2.6.1-1ubuntu1
libasound2-data	1.2.6.1-1ubuntu1
libassuan0:amd64	2.5.5-1build1
libatk-bridge2.0-0:amd64	2.38.0-3
libatk-bridge2.0-dev:amd64	2.38.0-3
libatk1.0-0:amd64	2.36.0-3build1
libatk1.0-data	2.36.0-3build1
libatk1.0-dev:amd64	2.36.0-3build1
libatm1:amd64	1:2.5.1-4build2
libatomic1:amd64	12.3.0-1ubuntu1~22.04
libatspi2.0-0:amd64	2.44.0-3
libatspi2.0-dev:amd64	2.44.0-3
libattr1:amd64	1:2.5.1-1build1
libaudit-common	1:3.0.7-1build1
libaudit1:amd64	1:3.0.7-1build1
libauthen-sasl-perl	2.1600-1.1
libavahi-client3:amd64	0.8-5ubuntu5.2
libavahi-common-data:amd64	0.8-5ubuntu5.2
libavahi-common3:amd64	0.8-5ubuntu5.2
libbabeltrace1:amd64	1.5.8-2build1
libbinutils:amd64	2.38-4ubuntu2.4
libblkid-dev:amd64	2.37.2-4ubuntu3
libblkid1:amd64	2.37.2-4ubuntu3
libboost-all-dev	1.74.0.3ubuntu7
libboost-atomic-dev:amd64	1.74.0.3ubuntu7
libboost-atomic1.74-dev:amd64	1.74.0-14ubuntu3
libboost-atomic1.74.0:amd64	1.74.0-14ubuntu3
libboost-chrono-dev:amd64	1.74.0.3ubuntu7
libboost-chrono1.74-dev:amd64	1.74.0-14ubuntu3
libboost-chrono1.74.0:amd64	1.74.0-14ubuntu3
libboost-container-dev:amd64	1.74.0.3ubuntu7
libboost-container1.74-dev:amd64	1.74.0-14ubuntu3
libboost-container1.74.0:amd64	1.74.0-14ubuntu3
libboost-context-dev:amd64	1.74.0.3ubuntu7
libboost-context1.74-dev:amd64	1.74.0-14ubuntu3
libboost-context1.74.0:amd64	1.74.0-14ubuntu3
libboost-coroutine-dev:amd64	1.74.0.3ubuntu7
libboost-coroutine1.74-dev:amd64	1.74.0-14ubuntu3
libboost-coroutine1.74.0:amd64	1.74.0-14ubuntu3
libboost-date-time-dev:amd64	1.74.0.3ubuntu7
libboost-date-time1.74-dev:amd64	1.74.0-14ubuntu3
libboost-date-time1.74.0:amd64	1.74.0-14ubuntu3
libboost-dev:amd64	1.74.0.3ubuntu7
libboost-exception-dev:amd64	1.74.0.3ubuntu7
libboost-exception1.74-dev:amd64	1.74.0-14ubuntu3
libboost-fiber-dev:amd64	1.74.0.3ubuntu7
libboost-fiber1.74-dev:amd64	1.74.0-14ubuntu3
libboost-fiber1.74.0:amd64	1.74.0-14ubuntu3
libboost-filesystem-dev:amd64	1.74.0.3ubuntu7
libboost-filesystem1.74-dev:amd64	1.74.0-14ubuntu3
libboost-filesystem1.74.0:amd64	1.74.0-14ubuntu3
libboost-graph-dev:amd64	1.74.0.3ubuntu7
libboost-graph-parallel-dev	1.74.0.3ubuntu7
libboost-graph-parallel1.74-dev	1.74.0-14ubuntu3
libboost-graph-parallel1.74.0	1.74.0-14ubuntu3
libboost-graph1.74-dev:amd64	1.74.0-14ubuntu3
libboost-graph1.74.0:amd64	1.74.0-14ubuntu3
libboost-iostreams-dev:amd64	1.74.0.3ubuntu7
libboost-iostreams1.74-dev:amd64	1.74.0-14ubuntu3
libboost-iostreams1.74.0:amd64	1.74.0-14ubuntu3
libboost-locale-dev:amd64	1.74.0.3ubuntu7
libboost-locale1.74-dev:amd64	1.74.0-14ubuntu3
libboost-locale1.74.0:amd64	1.74.0-14ubuntu3
libboost-log-dev	1.74.0.3ubuntu7
libboost-log1.74-dev	1.74.0-14ubuntu3
libboost-log1.74.0	1.74.0-14ubuntu3
libboost-math-dev:amd64	1.74.0.3ubuntu7
libboost-math1.74-dev:amd64	1.74.0-14ubuntu3
libboost-math1.74.0:amd64	1.74.0-14ubuntu3
libboost-mpi-dev	1.74.0.3ubuntu7
libboost-mpi-python-dev	1.74.0.3ubuntu7
libboost-mpi-python1.74-dev	1.74.0-14ubuntu3
libboost-mpi-python1.74.0	1.74.0-14ubuntu3
libboost-mpi1.74-dev	1.74.0-14ubuntu3
libboost-mpi1.74.0	1.74.0-14ubuntu3
libboost-nowide-dev	1.74.0.3ubuntu7
libboost-nowide1.74-dev	1.74.0-14ubuntu3
libboost-nowide1.74.0	1.74.0-14ubuntu3
libboost-numpy-dev	1.74.0.3ubuntu7
libboost-numpy1.74-dev	1.74.0-14ubuntu3
libboost-numpy1.74.0	1.74.0-14ubuntu3
libboost-program-options-dev:amd64	1.74.0.3ubuntu7
libboost-program-options1.74-dev:amd64	1.74.0-14ubuntu3
libboost-program-options1.74.0:amd64	1.74.0-14ubuntu3
libboost-python-dev	1.74.0.3ubuntu7
libboost-python1.74-dev	1.74.0-14ubuntu3
libboost-python1.74.0	1.74.0-14ubuntu3
libboost-random-dev:amd64	1.74.0.3ubuntu7
libboost-random1.74-dev:amd64	1.74.0-14ubuntu3
libboost-random1.74.0:amd64	1.74.0-14ubuntu3
libboost-regex-dev:amd64	1.74.0.3ubuntu7
libboost-regex1.74-dev:amd64	1.74.0-14ubuntu3
libboost-regex1.74.0:amd64	1.74.0-14ubuntu3
libboost-serialization-dev:amd64	1.74.0.3ubuntu7
libboost-serialization1.74-dev:amd64	1.74.0-14ubuntu3
libboost-serialization1.74.0:amd64	1.74.0-14ubuntu3
libboost-stacktrace-dev:amd64	1.74.0.3ubuntu7
libboost-stacktrace1.74-dev:amd64	1.74.0-14ubuntu3
libboost-stacktrace1.74.0:amd64	1.74.0-14ubuntu3
libboost-system-dev:amd64	1.74.0.3ubuntu7
libboost-system1.74-dev:amd64	1.74.0-14ubuntu3
libboost-system1.74.0:amd64	1.74.0-14ubuntu3
libboost-test-dev:amd64	1.74.0.3ubuntu7
libboost-test1.74-dev:amd64	1.74.0-14ubuntu3
libboost-test1.74.0:amd64	1.74.0-14ubuntu3
libboost-thread-dev:amd64	1.74.0.3ubuntu7
libboost-thread1.74-dev:amd64	1.74.0-14ubuntu3
libboost-thread1.74.0:amd64	1.74.0-14ubuntu3
libboost-timer-dev:amd64	1.74.0.3ubuntu7
libboost-timer1.74-dev:amd64	1.74.0-14ubuntu3
libboost-timer1.74.0:amd64	1.74.0-14ubuntu3
libboost-tools-dev	1.74.0.3ubuntu7
libboost-type-erasure-dev:amd64	1.74.0.3ubuntu7
libboost-type-erasure1.74-dev:amd64	1.74.0-14ubuntu3
libboost-type-erasure1.74.0:amd64	1.74.0-14ubuntu3
libboost-wave-dev:amd64	1.74.0.3ubuntu7
libboost-wave1.74-dev:amd64	1.74.0-14ubuntu3
libboost-wave1.74.0:amd64	1.74.0-14ubuntu3
libboost1.74-dev:amd64	1.74.0-14ubuntu3
libboost1.74-tools-dev	1.74.0-14ubuntu3
libbpf0:amd64	1:0.5.0-1ubuntu22.04.1
libbrotli-dev:amd64	1.0.9-2build6
libbrotli1:amd64	1.0.9-2build6
libbsd0:amd64	0.11.5-1
libbz2-1.0:amd64	1.0.8-5build1
libc-bin	2.35-0ubuntu3.6
libc-dev-bin	2.35-0ubuntu3.6
libc-devtools	2.35-0ubuntu3.6
libc6:amd64	2.35-0ubuntu3.6
libc6-dbg:amd64	2.35-0ubuntu3.6
libc6-dev:amd64	2.35-0ubuntu3.6
libcaf-openmpi-3:amd64	2.9.2-3
libcairo-gobject2:amd64	1.16.0-5ubuntu2
libcairo-script-interpreter2:amd64	1.16.0-5ubuntu2
libcairo2:amd64	1.16.0-5ubuntu2
libcairo2-dev:amd64	1.16.0-5ubuntu2
libcap-ng0:amd64	0.7.9-2.2build3
libcap2:amd64	1:2.44-1ubuntu0.22.04.1
libcap2-bin	1:2.44-1ubuntu0.22.04.1
libcbor0.8:amd64	0.8.0-2ubuntu1
libcc1-0:amd64	12.3.0-1ubuntu1~22.04
libclone-perl	0.45-1build3
libcoarrays-dev:amd64	2.9.2-3
libcoarrays-openmpi-dev:amd64	2.9.2-3
libcolord2:amd64	1.4.6-1
libcom-err2:amd64	1.46.5-2ubuntu1.1
libcrypt-dev:amd64	1:4.4.27-1
libcrypt1:amd64	1:4.4.27-1
libcryptsetup12:amd64	2:2.4.3-1ubuntu1.1
libctf-nobfd0:amd64	2.38-4ubuntu2.4
libctf0:amd64	2.38-4ubuntu2.4
libcups2:amd64	2.4.1op1-1ubuntu4.7
libcurl3-gnutls:amd64	7.81.0-1ubuntu1.15
libcurl4:amd64	7.81.0-1ubuntu1.15
libdata-dump-perl	1.25-1
libdatrie-dev:amd64	0.2.13-2
libdatrie1:amd64	0.2.13-2
libdb5.3:amd64	5.3.28+dfsg1-0.8ubuntu3
libdbus-1-3:amd64	1.12.20-2ubuntu4.1
libdbus-1-dev:amd64	1.12.20-2ubuntu4.1
libdconf1:amd64	0.40.0-3
libdebconfclient0:amd64	0.261ubuntu1
libdebuginfod-common	0.186-1build1
libdebuginfod1:amd64	0.186-1build1
libdeflate-dev:amd64	1.10-2
libdeflate0:amd64	1.10-2
libdevmapper1.02.1:amd64	2:1.02.175-2.1ubuntu4
libdmx-dev:amd64	1:1.1.4-2build2
libdmx1:amd64	1:1.1.4-2build2
libdns-export1110	1:9.11.19+dfsg-2.1ubuntu3
libdouble-conversion3:amd64	3.1.7-4
libdpkg-perl	1.21.1ubuntu2.2
libdrm-amdgpu1:amd64	2.4.113-2~ubuntu0.22.04.1
libdrm-common	2.4.113-2~ubuntu0.22.04.1
libdrm-dev:amd64	2.4.113-2~ubuntu0.22.04.1
libdrm-intel1:amd64	2.4.113-2~ubuntu0.22.04.1
libdrm-nouveau2:amd64	2.4.113-2~ubuntu0.22.04.1
libdrm-radeon1:amd64	2.4.113-2~ubuntu0.22.04.1
libdrm2:amd64	2.4.113-2~ubuntu0.22.04.1
libdw1:amd64	0.186-1build1
libedit2:amd64	3.1-20210910-1build1
libegl-dev:amd64	1.4.0-1
libegl-mesa0:amd64	23.0.4-0ubuntu1~22.04.1
libegl1:amd64	1.4.0-1
libegl1-mesa-dev:amd64	23.0.4-0ubuntu1~22.04.1
libelf1:amd64	0.186-1build1
libencode-locale-perl	1.05-1.1
libepoxy-dev:amd64	1.5.10-1
libepoxy0:amd64	1.5.10-1
liberror-perl	0.17029-1
libestr0:amd64	0.1.10-2.1build3
libevdev2:amd64	1.12.1+dfsg-1
libevent-2.1-7:amd64	2.1.12-stable-1build3
libevent-core-2.1-7:amd64	2.1.12-stable-1build3
libevent-dev	2.1.12-stable-1build3
libevent-extra-2.1-7:amd64	2.1.12-stable-1build3
libevent-openssl-2.1-7:amd64	2.1.12-stable-1build3
libevent-pthreads-2.1-7:amd64	2.1.12-stable-1build3
libexpat1:amd64	2.4.7-1ubuntu0.2
libexpat1-dev:amd64	2.4.7-1ubuntu0.2
libext2fs2:amd64	1.46.5-2ubuntu1.1
libfabric1:amd64	1.11.0-3
libfakeroot:amd64	1.28-1ubuntu1
libfastjson4:amd64	0.99.9-1build2
libffi-dev:amd64	3.4.2-4
libffi8:amd64	3.4.2-4
libfido2-1:amd64	1.10.0-1
libfile-basedir-perl	0.09-1
libfile-desktopentry-perl	0.22-2
libfile-fcntllock-perl	0.22-3build7
libfile-listing-perl	6.14-1
libfile-mimeinfo-perl	0.31-1
libfont-afm-perl	1.20-3
libfontconfig-dev:amd64	2.13.1-4.2ubuntu5
libfontconfig1:amd64	2.13.1-4.2ubuntu5
libfontconfig1-dev:amd64	2.13.1-4.2ubuntu5
libfontenc-dev:amd64	1:1.1.4-1build3
libfontenc1:amd64	1:1.1.4-1build3
libfreetype-dev:amd64	2.11.1+dfsg-1ubuntu0.2
libfreetype6:amd64	2.11.1+dfsg-1ubuntu0.2
libfreetype6-dev:amd64	2.11.1+dfsg-1ubuntu0.2
libfribidi-dev:amd64	1.0.8-2ubuntu3.1
libfribidi0:amd64	1.0.8-2ubuntu3.1
libfs-dev:amd64	2:1.0.8-1build2
libfs6:amd64	2:1.0.8-1build2
libfuse3-3:amd64	3.10.5-1build1
libgbm1:amd64	23.0.4-0ubuntu1~22.04.1
libgcc-11-dev:amd64	11.4.0-1ubuntu1~22.04
libgcc-s1:amd64	12.3.0-1ubuntu1~22.04
libgcrypt20:amd64	1.9.4-3ubuntu3
libgd3:amd64	2.3.0-2ubuntu2
libgdbm-compat4:amd64	1.23-1
libgdbm6:amd64	1.23-1
libgdk-pixbuf-2.0-0:amd64	2.42.8+dfsg-1ubuntu0.2
libgdk-pixbuf-2.0-dev:amd64	2.42.8+dfsg-1ubuntu0.2
libgdk-pixbuf2.0-bin	2.42.8+dfsg-1ubuntu0.2
libgdk-pixbuf2.0-common	2.42.8+dfsg-1ubuntu0.2
libgfortran-11-dev:amd64	11.4.0-1ubuntu1~22.04
libgfortran5:amd64	12.3.0-1ubuntu1~22.04
libgirepository-1.0-1:amd64	1.72.0-1
libgl-dev:amd64	1.4.0-1
libgl1:amd64	1.4.0-1
libgl1-amber-dri:amd64	21.3.9-0ubuntu1~22.04.1
libgl1-mesa-dri:amd64	23.0.4-0ubuntu1~22.04.1
libglapi-mesa:amd64	23.0.4-0ubuntu1~22.04.1
libgles-dev:amd64	1.4.0-1
libgles1:amd64	1.4.0-1
libgles2:amd64	1.4.0-1
libglib2.0-0:amd64	2.72.4-0ubuntu2.2
libglib2.0-bin	2.72.4-0ubuntu2.2
libglib2.0-data	2.72.4-0ubuntu2.2
libglib2.0-dev:amd64	2.72.4-0ubuntu2.2
libglib2.0-dev-bin	2.72.4-0ubuntu2.2
libglvnd-core-dev:amd64	1.4.0-1
libglvnd-dev:amd64	1.4.0-1
libglvnd0:amd64	1.4.0-1
libglx-dev:amd64	1.4.0-1
libglx-mesa0:amd64	23.0.4-0ubuntu1~22.04.1
libglx0:amd64	1.4.0-1
libgmp10:amd64	2:6.2.1+dfsg-3ubuntu1
libgnutls30:amd64	3.7.3-4ubuntu1.3
libgomp1:amd64	12.3.0-1ubuntu1~22.04
libgpg-error0:amd64	1.43-3
libgpm2:amd64	1.20.7-10build1
libgraphite2-3:amd64	1.3.14-1build2
libgraphite2-dev:amd64	1.3.14-1build2
libgssapi-krb5-2:amd64	1.19.2-2ubuntu0.3
libgstreamer1.0-0:amd64	1.20.3-0ubuntu1
libgtk-3-0:amd64	3.24.33-1ubuntu2
libgtk-3-bin	3.24.33-1ubuntu2
libgtk-3-common	3.24.33-1ubuntu2
libgtk-3-dev:amd64	3.24.33-1ubuntu2
libgtkd-3-0:amd64	3.10.0-1ubuntu1
libgudev-1.0-0:amd64	1:237-2build1
libharfbuzz-dev:amd64	2.7.4-1ubuntu3.1
libharfbuzz-gobject0:amd64	2.7.4-1ubuntu3.1
libharfbuzz-icu0:amd64	2.7.4-1ubuntu3.1
libharfbuzz0b:amd64	2.7.4-1ubuntu3.1
libhogweed6:amd64	3.7.3-1build2
libhtml-form-perl	6.07-1
libhtml-format-perl	2.12-1.1
libhtml-parser-perl:amd64	3.76-1build2
libhtml-tagset-perl	3.20-4
libhtml-tree-perl	5.07-2
libhttp-cookies-perl	6.10-1
libhttp-daemon-perl	6.13-1ubuntu0.1
libhttp-date-perl	6.05-1
libhttp-message-perl	6.36-1
libhttp-negotiate-perl	6.01-1
libhwloc-dev:amd64	2.7.0-2ubuntu1
libhwloc-plugins:amd64	2.7.0-2ubuntu1
libhwloc15:amd64	2.7.0-2ubuntu1
libibverbs-dev:amd64	39.0-1
libibverbs1:amd64	39.0-1
libice-dev:amd64	2:1.0.10-1build2
libice6:amd64	2:1.0.10-1build2
libicu-dev:amd64	70.1-2
libicu70:amd64	70.1-2
libidn2-0:amd64	2.3.2-2build1
libinput-bin	1.20.0-1ubuntu0.3
libinput10:amd64	1.20.0-1ubuntu0.3
libio-html-perl	1.004-2
libio-socket-ssl-perl	2.074-2
libio-stringy-perl	2.111-3
libip4tc2:amd64	1.8.7-1ubuntu5.1
libip6tc2:amd64	1.8.7-1ubuntu5.1
libipc-system-simple-perl	1.30-1
libipt2	2.0.5-1
libisc-export1105:amd64	1:9.11.19+dfsg-2.1ubuntu3
libisl23:amd64	0.24-2build1
libitm1:amd64	12.3.0-1ubuntu1~22.04
libjansson4:amd64	2.13.1-1.1build3
libjbig-dev:amd64	2.1-3.1ubuntu0.22.04.1
libjbig0:amd64	2.1-3.1ubuntu0.22.04.1
libjpeg-dev:amd64	8c-2ubuntu10
libjpeg-turbo8:amd64	2.1.2-0ubuntu1
libjpeg-turbo8-dev:amd64	2.1.2-0ubuntu1
libjpeg8:amd64	8c-2ubuntu10
libjpeg8-dev:amd64	8c-2ubuntu10
libjs-jquery	3.6.0+dfsg+~3.5.13-1
libjs-jquery-ui	1.13.1+dfsg-1
libjs-sphinxdoc	4.3.2-1
libjs-underscore	1.13.2~dfsg-2
libjson-c5:amd64	0.15-3~ubuntu1.22.04.2
libjsoncpp25:amd64	1.9.5-3
libk5crypto3:amd64	1.19.2-2ubuntu0.3
libkeyutils1:amd64	1.6.1-2ubuntu3
libkmod2:amd64	29-1ubuntu1
libkrb5-3:amd64	1.19.2-2ubuntu0.3
libkrb5support0:amd64	1.19.2-2ubuntu0.3
libksba8:amd64	1.6.0-2ubuntu0.2
liblcms2-2:amd64	2.12~rc1-2build2
libldap-2.5-0:amd64	2.5.16+dfsg-0ubuntu0.22.04.1
libldap-common	2.5.16+dfsg-0ubuntu0.22.04.1
libllvm11:amd64	1:11.1.0-6
libllvm15:amd64	1:15.0.7-0ubuntu0.22.04.3
liblmdb0:amd64	0.9.24-1build2
liblocale-gettext-perl	1.07-4build3
liblsan0:amd64	12.3.0-1ubuntu1~22.04
libltdl-dev:amd64	2.4.6-15build2
libltdl7:amd64	2.4.6-15build2
liblua5.4-0:amd64	5.4.4-1
liblwp-mediatypes-perl	6.04-1
liblwp-protocol-https-perl	6.10-1
liblz4-1:amd64	1.9.3-2build2
liblzma-dev:amd64	5.2.5-2ubuntu1
liblzma5:amd64	5.2.5-2ubuntu1
liblzo2-2:amd64	2.10-2build3
libmagic-mgc	1:5.41-3ubuntu0.1
libmagic1:amd64	1:5.41-3ubuntu0.1
libmailtools-perl	2.21-1
libmaxminddb0:amd64	1.5.2-1build2
libmd0:amd64	1.0.4-1build1
libmd4c0:amd64	0.4.8-1
libmnl0:amd64	1.0.4-3build2
libmount-dev:amd64	2.37.2-4ubuntu3
libmount1:amd64	2.37.2-4ubuntu3
libmpc3:amd64	1.2.1-2build1
libmpdec3:amd64	2.5.1-2build2
libmpfr6:amd64	4.1.0-3build3
libmtdev1:amd64	1.1.6-1build4
libncurses6:amd64	6.3-2ubuntu0.1
libncursesw6:amd64	6.3-2ubuntu0.1
libnet-dbus-perl	1.2.0-1build3
libnet-http-perl	6.22-1
libnet-smtp-ssl-perl	1.04-1
libnet-ssleay-perl:amd64	1.92-1build2
libnetfilter-conntrack3:amd64	1.0.9-1
libnetplan0:amd64	0.106.1-7ubuntu0.22.04.2
libnettle8:amd64	3.7.3-1build2
libnewt0.52:amd64	0.52.21-5ubuntu2
libnfnetlink0:amd64	1.0.1-3build3
libnftables1:amd64	1.0.2-1ubuntu3
libnftnl11:amd64	1.2.1-1build1
libnghttp2-14:amd64	1.43.0-1ubuntu0.1
libnl-3-200:amd64	3.5.0-0.1
libnl-3-dev:amd64	3.5.0-0.1
libnl-genl-3-200:amd64	3.5.0-0.1
libnl-route-3-200:amd64	3.5.0-0.1
libnl-route-3-dev:amd64	3.5.0-0.1
libnotify4:amd64	0.7.9-3ubuntu5.22.04.1
libnpth0:amd64	1.6-3build2
libnsl-dev:amd64	1.3.0-2build2
libnsl2:amd64	1.3.0-2build2
libnspr4:amd64	2:4.32-3build1
libnss-systemd:amd64	249.11-0ubuntu3.11
libnss3:amd64	2:3.68.2-0ubuntu1.2
libntfs-3g89	1:2021.8.22-3ubuntu1.2
libnuma-dev:amd64	2.0.14-3ubuntu2
libnuma1:amd64	2.0.14-3ubuntu2
libopengl-dev:amd64	1.4.0-1
libopengl0:amd64	1.4.0-1
libopenmpi-dev:amd64	4.1.2-2ubuntu1
libopenmpi3:amd64	4.1.2-2ubuntu1
libp11-kit0:amd64	0.24.0-6build1
libpackagekit-glib2-18:amd64	1.2.5-2ubuntu2
libpam-cap:amd64	1:2.44-1ubuntu0.22.04.1
libpam-modules:amd64	1.4.0-11ubuntu2.3
libpam-modules-bin	1.4.0-11ubuntu2.3
libpam-runtime	1.4.0-11ubuntu2.3
libpam-systemd:amd64	249.11-0ubuntu3.11
libpam0g:amd64	1.4.0-11ubuntu2.3
libpango-1.0-0:amd64	1.50.6+ds-2ubuntu1
libpango1.0-dev:amd64	1.50.6+ds-2ubuntu1
libpangocairo-1.0-0:amd64	1.50.6+ds-2ubuntu1
libpangoft2-1.0-0:amd64	1.50.6+ds-2ubuntu1
libpangoxft-1.0-0:amd64	1.50.6+ds-2ubuntu1
libparted2:amd64	3.4-2build1
libpcap0.8:amd64	1.10.1-4build1
libpci3:amd64	1:3.7.0-6
libpciaccess-dev:amd64	0.16-3
libpciaccess0:amd64	0.16-3
libpcre16-3:amd64	2:8.39-13ubuntu0.22.04.1
libpcre2-16-0:amd64	10.39-3ubuntu0.1
libpcre2-32-0:amd64	10.39-3ubuntu0.1
libpcre2-8-0:amd64	10.39-3ubuntu0.1
libpcre2-dev:amd64	10.39-3ubuntu0.1
libpcre2-posix3:amd64	10.39-3ubuntu0.1
libpcre3:amd64	2:8.39-13ubuntu0.22.04.1
libpcre3-dev:amd64	2:8.39-13ubuntu0.22.04.1
libpcre32-3:amd64	2:8.39-13ubuntu0.22.04.1
libpcrecpp0v5:amd64	2:8.39-13ubuntu0.22.04.1
libperl5.34:amd64	5.34.0-3ubuntu1.3
libphobos2-ldc-shared98:amd64	1:1.28.0-1ubuntu1
libpipeline1:amd64	1.5.5-1
libpixman-1-0:amd64	0.40.0-1ubuntu0.22.04.1
libpixman-1-dev:amd64	0.40.0-1ubuntu0.22.04.1
libplymouth5:amd64	0.9.5+git20211018-1ubuntu3
